business_name,category,subcategory,address,city,phone,website,rating,num_reviews,description,source_url
Bulk Barn,Restaurants & Food,Grocery,"9350 YONGE STREET, Unit A7",Richmond Hill,(905) 883-3036,,,,,https://www.gtasearch.com/biz/bulk-barn-richmond-hill
Bulk Barn,Restaurants & Food,Grocery,11005 YONGE STREET,Richmond Hill,(905) 770-0330,,,,,https://www.gtasearch.com/biz/bulk-barn-richmond-hill-2
Bytes Brugers N' Fries,Restaurants & Food,Fast Food,"10066 BAYVIEW AVENUE, Unit 1",Richmond Hill,(905) 770-2222,,,,,https://www.gtasearch.com/biz/bytes-brugers-n-fries-richmond-hill
Cacao 70,Restaurants & Food,,"100 YORK BOULEVARD, Unit 100",Richmond Hill,(905) 889-9779,,,,,https://www.gtasearch.com/biz/cacao-70-richmond-hill
Café No. 8,Restaurants & Food,,"1 SPADINA ROAD, Unit 12",Richmond Hill,(905) 780-1988,,,,,https://www.gtasearch.com/biz/cafe-no-8-richmond-hill
Cafe Raha,Restaurants & Food,Coffee & Tea,13130 YONGE STREET,Richmond Hill,(905) 773-0111,,,,,https://www.gtasearch.com/biz/cafe-raha-richmond-hill
Caffe Demetre,Restaurants & Food,,"9174 YONGE STREET, Unit 2",Richmond Hill,(905) 707-3349,,,,,https://www.gtasearch.com/biz/caffe-demetre-richmond-hill
Caffé Demetre,Restaurants & Food,,"100 YORK BOULEVARD, Unit 100",Richmond Hill,(905) 881-8406,,,,,https://www.gtasearch.com/biz/caffe-demetre-richmond-hill-2
Cake One,Restaurants & Food,Grocery,"9425 LESLIE STREET, Unit 17",Richmond Hill,(905) 508-3088,,,,,https://www.gtasearch.com/biz/cake-one-richmond-hill
California Sandwiches,Restaurants & Food,Fast Food,"10815 YONGE STREET, Unit 3-4",Richmond Hill,(905) 237-4703,,,,,https://www.gtasearch.com/biz/california-sandwiches-richmond-hill
Capri's Grill,Restaurants & Food,,205 DON HEAD VILLAGE BOULEVARD,Richmond Hill,(905) 237-3877,,,,,https://www.gtasearch.com/biz/capris-grill-richmond-hill
Caribbean Jerk Pit,Restaurants & Food,Caribbean,"10737 YONGE STREET, Unit 20",Richmond Hill,(905) 883-5798,,,,,https://www.gtasearch.com/biz/caribbean-jerk-pit-richmond-hill
Carrville Food Centre,Restaurants & Food,Grocery,"361 CARRVILLE ROAD, Unit 6-7",Richmond Hill,(905) 886-1671,,,,,https://www.gtasearch.com/biz/carrville-food-centre-richmond-hill
Chako,Restaurants & Food,,163 YORK BOULEVARD,Richmond Hill,(905) 889-7898,,,,,https://www.gtasearch.com/biz/chako-richmond-hill
Chef Burger,Restaurants & Food,Fast Food,"8910 YONGE STREET, Unit 4",Richmond Hill,(289) 597-2757,,,,,https://www.gtasearch.com/biz/chef-burger-richmond-hill
Chengu Korean Restaurant,Restaurants & Food,Korean,10610 BAYVIEW AVENUE,Richmond Hill,(905) 237-6767,,,,,https://www.gtasearch.com/biz/chengu-korean-restaurant-richmond-hill
Chi Star House,Restaurants & Food,,"9021 LESLIE STREET, Unit 5-6",Richmond Hill,(905) 771-8880,,,,,https://www.gtasearch.com/biz/chi-star-house-richmond-hill
Choice Of The Orient Restaurant,Restaurants & Food,,"9555 YONGE STREET, Unit 24",Richmond Hill,(905) 737-7373,,,,,https://www.gtasearch.com/biz/choice-of-the-orient-restaurant-richmond-hill
Chongqing Liuyishou Hot Pot,Restaurants & Food,Chinese,"650 HIGHWAY 7, Unit 102",Richmond Hill,(905) 762-9978,,,,,https://www.gtasearch.com/biz/chongqing-liuyishou-hot-pot-richmond-hill
A&W,Restaurants & Food,Fast Food,201 Taunton Road West,Ajax,(905) 428-3726,,,,,https://www.gtasearch.com/biz/a-w-ajax
Ajax Foodmart,Restaurants & Food,Grocery,"250 Bayly Street West, Unit 15-17",Ajax,(905) 686-0378,,,,,https://www.gtasearch.com/biz/ajax-foodmart-ajax
Al Baik,Restaurants & Food,Fast Food,607 Kingston Road West,Ajax,(905) 619-5151,,,,,https://www.gtasearch.com/biz/al-baik-ajax
All In One Convenience,Restaurants & Food,Grocery,38 Old Kingston Road,Ajax,(905) 239-0441,,,,,https://www.gtasearch.com/biz/all-in-one-convenience-ajax
Alnoor Kebab & Sweets Restaurant,Restaurants & Food,Dessert,44 Harwood Avenue South,Ajax,(905) 239-7786,,,,,https://www.gtasearch.com/biz/alnoor-kebab-sweets-restaurant-ajax
Amader Adda,Restaurants & Food,Fast Food,"250 Bayly Street West, Unit 6",Ajax,(647) 347-2332,,,,,https://www.gtasearch.com/biz/amader-adda-ajax
Angelique's Family Restaurant,Restaurants & Food,,"31 Barr Road, Unit 1",Ajax,(905) 683-5889,,,,,https://www.gtasearch.com/biz/angeliques-family-restaurant-ajax
Applebee's,Restaurants & Food,,155 Kingston Road East,Ajax,(905) 426-6440,,,,,https://www.gtasearch.com/biz/applebees-ajax
Au Mboa,Restaurants & Food,,68 Harwood Avenue South,Ajax,(437) 217-4924,,,,,https://www.gtasearch.com/biz/au-mboa-ajax
Baking At Its Best,Restaurants & Food,Bakeries,"835 Westney Road South, Unit 10-11",Ajax,(905) 686-4032,,,,,https://www.gtasearch.com/biz/baking-at-its-best-ajax
Bellagio Pizza,Restaurants & Food,Fast Food,"75 Williamson Drive West, Unit 5",Ajax,(905) 239-8448,,,,,https://www.gtasearch.com/biz/bellagio-pizza-ajax
Benedict’s Pizza,Restaurants & Food,Fast Food,61 Bayly Street West,Ajax,(905) 239-4992,,,,,https://www.gtasearch.com/biz/benedicts-pizza-ajax
Beryl's Pepper Pot,Restaurants & Food,Fast Food,"467 Westney Road South, Unit 17",Ajax,(905) 428-7890,,,,,https://www.gtasearch.com/biz/beryls-pepper-pot-ajax
Best Way Convenience,Restaurants & Food,Grocery,110 Ritchie Avenue,Ajax,(905) 683-4959,,,,,https://www.gtasearch.com/biz/best-way-convenience-ajax
Bismillah Grocery Store,Restaurants & Food,Grocery,72 Harwood Avenue South,Ajax,(905) 666-1500,,,,,https://www.gtasearch.com/biz/bismillah-grocery-store-ajax
Blossom Garden,Restaurants & Food,Fast Food,"85 Kingston Road East, Unit 6",Ajax,(905) 683-8820,,,,,https://www.gtasearch.com/biz/blossom-garden-ajax
Booster Juice,Restaurants & Food,Fast Food,"310 Harwood Avenue South, Unit 1-c",Ajax,(905) 606-2202,,,,,https://www.gtasearch.com/biz/booster-juice-ajax
Boston Pizza,Restaurants & Food,Pizza,8 Salem Road South,Ajax,(905) 427-7771,,,,,https://www.gtasearch.com/biz/boston-pizza-ajax
Burger King,Restaurants & Food,Fast Food,345 MacKenzie Avenue,Ajax,(905) 686-2331,,,,,https://www.gtasearch.com/biz/burger-king-ajax
Burgers On Fleek,Restaurants & Food,Fast Food,"135 Harwood Avenue North, Unit B212",Ajax,(905) 427-4377,,,,,https://www.gtasearch.com/biz/burgers-on-fleek-ajax
Cakes&Co,Restaurants & Food,Bakeries,"109 Old Kingston Road, Unit 2",Ajax,(905) 261-8855,,,,,https://www.gtasearch.com/biz/cakes-co-ajax
Captain Neel- Kabob Delights,Restaurants & Food,Middle Eastern,"240 Harwood Avenue South, Unit 2",Ajax,(905) 619-0474,,,,,https://www.gtasearch.com/biz/captain-neel-kabob-delights-ajax
Chaiiwala Of London,Restaurants & Food,Fast Food,"289 Kingston Road East, Unit 3",Ajax,(905) 619-2333,,,,,https://www.gtasearch.com/biz/chaiiwala-of-london-ajax
Chainsmokers Urban Barbeque,Restaurants & Food,Fast Food,"65 Kingston Road East, Unit 12",Ajax,(289) 422-1574,,,,,https://www.gtasearch.com/biz/chainsmokers-urban-barbeque-ajax
Chatime,Restaurants & Food,Fast Food,"603 Church Street North, Unit 7",Ajax,(289) 624-2001,,,,,https://www.gtasearch.com/biz/chatime-ajax
Chatime,Restaurants & Food,Fast Food,"1995 Salem Road North, Unit 9",Ajax,(647) 607-2979,,,,,https://www.gtasearch.com/biz/chatime-ajax-2
Chick-N-Joy,Restaurants & Food,Fast Food,"85 Kingston Road East, Unit 16",Ajax,(905) 239-3311,,,,,https://www.gtasearch.com/biz/chick-n-joy-ajax
Circle K,Restaurants & Food,Grocery,955 Westney Road South,Ajax,(905) 683-4678,,,,,https://www.gtasearch.com/biz/circle-k-ajax
Cloud Nine Bar & Grill,Restaurants & Food,,368 Bayly Street West,Ajax,(905) 903-6360,,,,,https://www.gtasearch.com/biz/cloud-nine-bar-grill-ajax
Cluck Clucks,Restaurants & Food,Fast Food,"157 Harwood Avenue North, Unit C5",Ajax,(905) 238-2786,,,,,https://www.gtasearch.com/biz/cluck-clucks-ajax
Coco Fresh Tea & Juice,Restaurants & Food,Fast Food,"145 Kingston Road East, Unit 18",Ajax,(905) 619-0440,,,,,https://www.gtasearch.com/biz/coco-fresh-tea-juice-ajax
Crepe Castle All Day Breakfast,Restaurants & Food,Dessert,"1995 Salem Road North, Unit 4-5",Ajax,(905) 426-7558,,,,,https://www.gtasearch.com/biz/crepe-castle-all-day-breakfast-ajax
Crumbl,Restaurants & Food,Bakeries,"157 Harwood Avenue North, Unit 4",Ajax,(905) 969-2829,,,,,https://www.gtasearch.com/biz/crumbl-ajax
Curry Tabanca,Restaurants & Food,Fast Food,250 Bayly Street West,Ajax,(905) 686-8100,,,,,https://www.gtasearch.com/biz/curry-tabanca-ajax
D Spot Dessert Cafe,Restaurants & Food,Fast Food,"7 Rossland Road East, Unit 101",Ajax,(905) 686-3100,,,,,https://www.gtasearch.com/biz/d-spot-dessert-cafe-ajax
Daisy Mart,Restaurants & Food,Grocery,34 Harwood Avenue South,Ajax,(905) 619-1399,,,,,https://www.gtasearch.com/biz/daisy-mart-ajax
Dam Foods,Restaurants & Food,Grocery,154 Harwood Avenue South,Ajax,(905) 426-4337,,,,,https://www.gtasearch.com/biz/dam-foods-ajax
Desi Point,Restaurants & Food,,"283 Kingston Road East, Unit 2",Ajax,(905) 424-7924,,,,,https://www.gtasearch.com/biz/desi-point-ajax
Ding Mart Convenience,Restaurants & Food,Grocery,126 Harwood Avenue South,Ajax,(905) 619-1612,,,,,https://www.gtasearch.com/biz/ding-mart-convenience-ajax
Domino's Pizza,Restaurants & Food,Fast Food,"235 Bayly Street West, Unit 22",Ajax,(905) 683-9995,,,,,https://www.gtasearch.com/biz/dominos-pizza-ajax
Edo Japan,Restaurants & Food,Fast Food,320 Harwood Avenue South,Ajax,(905) 686-2626,,,,,https://www.gtasearch.com/biz/edo-japan-ajax
Eggsmart,Restaurants & Food,,"465 Bayly Street West, Unit 3-4",Ajax,(905) 239-1116,,,,,https://www.gtasearch.com/biz/eggsmart-ajax
Eggstatic,Restaurants & Food,,"279 Kingston Road East, Unit 13 & 14",Ajax,(905) 239-7779,,,,,https://www.gtasearch.com/biz/eggstatic-ajax
Estacion,Restaurants & Food,Fast Food,"190 Station Street, Unit 9",Ajax,(905) 239-7000,,,,,https://www.gtasearch.com/biz/estacion-ajax
Fine Taste,Restaurants & Food,Fast Food,"75 Bayly Street West, Unit 16A-16B",Ajax,(905) 239-0880,,,,,https://www.gtasearch.com/biz/fine-taste-ajax
Firehouse Subs,Restaurants & Food,Fast Food,"170 Kingston Road East, Unit 4A",Ajax,(905) 424-7827,,,,,https://www.gtasearch.com/biz/firehouse-subs-ajax
Five Guys,Restaurants & Food,Fast Food,"130 Kingston Road East, Unit 140",Ajax,(905) 428-6262,,,,,https://www.gtasearch.com/biz/five-guys-ajax
Food Basics,Restaurants & Food,Grocery,475 Westney Road North,Ajax,(905) 686-5632,,,,,https://www.gtasearch.com/biz/food-basics-ajax
Ghost Kitchens,Restaurants & Food,Fast Food,"269 Kingston Road East, Unit 1",Ajax,(905) 428-0708,,,,,https://www.gtasearch.com/biz/ghost-kitchens-ajax
Goldies Cafe + Eatery,Restaurants & Food,Fast Food,"75 Bayly Street West, Unit 19",Ajax,(905) 831-1000,,,,,https://www.gtasearch.com/biz/goldies-cafe-eatery-ajax
Harvey's,Restaurants & Food,Fast Food,15 Westney Road North,Ajax,(905) 428-9763,,,,,https://www.gtasearch.com/biz/harveys-ajax
Hasty Market,Restaurants & Food,Grocery,"20 Harwood Avenue South, Unit 3",Ajax,(905) 427-4887,,,,,https://www.gtasearch.com/biz/hasty-market-ajax
Hollywood Donuts,Restaurants & Food,Fast Food,15 Westney Road North,Ajax,(905) 683-6549,,,,,https://www.gtasearch.com/biz/hollywood-donuts-ajax
Holy Shakes,Restaurants & Food,,310 Harwood Avenue South,Ajax,(905) 226-1358,,,,,https://www.gtasearch.com/biz/holy-shakes-ajax
Ice Cream Squad,Restaurants & Food,Fast Food,29 Station Street,Ajax,(289) 624-6778,,,,,https://www.gtasearch.com/biz/ice-cream-squad-ajax
Icey Bubbles,Restaurants & Food,Fast Food,"235 Bayly Street West, Unit 6",Ajax,(905) 239-1888,,,,,https://www.gtasearch.com/biz/icey-bubbles-ajax
Il Fornello,Restaurants & Food,,95 Kingston Road East,Ajax,(905) 427-1110,,,,,https://www.gtasearch.com/biz/il-fornello-ajax
Iqbal Foods,Restaurants & Food,Grocery,"289 Kingston Road East, Unit 1",Ajax,(905) 239-7868,,,,,https://www.gtasearch.com/biz/iqbal-foods-ajax
J’s Place,Restaurants & Food,,"109 Old Kingston Road, Unit 7",Ajax,(416) 716-7223,,,,,https://www.gtasearch.com/biz/js-place-ajax
Jollibee,Restaurants & Food,Fast Food,268 Kingston Road East,Ajax,(647) 799-4831,,,,,https://www.gtasearch.com/biz/jollibee-ajax
Kabul Kitchen & Co.,Restaurants & Food,,6 Lincoln Street,Ajax,(647) 761-1630,,,,,https://www.gtasearch.com/biz/kabul-kitchen-co-ajax
Kelsey's,Restaurants & Food,,10 Kingston Road West,Ajax,(905) 686-0348,,,,,https://www.gtasearch.com/biz/kelseys-ajax
King's Castle,Restaurants & Food,,"570 Westney Road South, Unit 21",Ajax,(905) 239-3727,,,,,https://www.gtasearch.com/biz/kings-castle-ajax
Kunafa's,Restaurants & Food,Fast Food,"145 Kingston Road East, Unit 14",Ajax,(905) 426-3444,,,,,https://www.gtasearch.com/biz/kunafas-ajax
La Rosh,Restaurants & Food,Fast Food,"1 Rossland Road West, Unit 14A-1",Ajax,(905) 239-2255,,,,,https://www.gtasearch.com/biz/la-rosh-ajax
Late Night Pizza By Aly,Restaurants & Food,Fast Food,279 Kingston Road East,Ajax,(647) 234-0405,,,,,https://www.gtasearch.com/biz/late-night-pizza-by-aly-ajax
Little Caesar's,Restaurants & Food,Fast Food,"475 Westney Road North, Unit 14",Ajax,(905) 619-6644,,,,,https://www.gtasearch.com/biz/little-caesars-ajax
Longo's,Restaurants & Food,Grocery,1 Rossland Road East,Ajax,(905) 427-6231,,,,,https://www.gtasearch.com/biz/longos-ajax
Macmillan Orchards,Restaurants & Food,Grocery,733 Kingston Road East,Ajax,(905) 686-2531,,,,,https://www.gtasearch.com/biz/macmillan-orchards-ajax
Madura Dine-In,Restaurants & Food,,"235 Bayly Street West, Unit 14",Ajax,(289) 608-8388,,,,,https://www.gtasearch.com/biz/madura-dine-in-ajax
Makimono Japenese Restaurant,Restaurants & Food,,60 Kingston Road East,Ajax,(905) 427-2726,,,,,https://www.gtasearch.com/biz/makimono-japenese-restaurant-ajax
Malines's Thai House,Restaurants & Food,Thai,"274 MacKenzie Avenue, Unit 90",Ajax,(905) 683-4698,,,,,https://www.gtasearch.com/biz/maliness-thai-house-ajax
7-Eleven/Petro Canada,Restaurants & Food,Grocery,704 Kingston Road,Pickering,(905) 420-9369,,,,,https://www.gtasearch.com/biz/7-eleven-petro-canada-pickering
A&W,Restaurants & Food,Fast Food,"1355 Kingston Road, Unit 8",Pickering,(905) 831-0330,,,,,https://www.gtasearch.com/biz/a-w-pickering
Aashiana,Restaurants & Food,Fast Food,1211 Kingston,Pickering,(905) 420-7600,,,,,https://www.gtasearch.com/biz/aashiana-pickering
Affys Premium Grill,Restaurants & Food,,"2200 Brock Road, Unit 2",Pickering,(905) 239-5415,,,,,https://www.gtasearch.com/biz/affys-premium-grill-pickering
Afghan Kebab And Shawarma,Restaurants & Food,Middle Eastern,734 Kingston Road,Pickering,(905) 492-6300,,,,,https://www.gtasearch.com/biz/afghan-kebab-and-shawarma-pickering
Al's West Indian Food Mart,Restaurants & Food,Grocery,"1660 Kingston Road, Unit 7",Pickering,(905) 686-2584,,,,,https://www.gtasearch.com/biz/als-west-indian-food-mart-pickering
Allwyn's,Restaurants & Food,,"705 Kingston Road, Unit 8",Pickering,(905) 839-1688,,,,,https://www.gtasearch.com/biz/allwyns-pickering
Aloy Impex Canada,Restaurants & Food,Grocery,"1885 Clements Road, Unit 233",Pickering,(289) 660-2569,,,,,https://www.gtasearch.com/biz/aloy-impex-canada-pickering
Amberlea Market,Restaurants & Food,Grocery,"1822 Whites Road, Unit 14",Pickering,(905) 837-1455,,,,,https://www.gtasearch.com/biz/amberlea-market-pickering
Amici,Restaurants & Food,,"1305 Pickering Parkway, Unit 103",Pickering,(905) 492-6363,,,,,https://www.gtasearch.com/biz/amici-pickering
B Boyz,Restaurants & Food,Fast Food,"2200 Brock Road, Unit 7",Pickering,(905) 619-0200,,,,,https://www.gtasearch.com/biz/b-boyz-pickering
Bamiyan Kabob,Restaurants & Food,Middle Eastern,"1755 Pickering Parkway, Unit A26",Pickering,(905) 239-0163,,,,,https://www.gtasearch.com/biz/bamiyan-kabob-pickering
Banban Korean Fried Chicken,Restaurants & Food,Korean,"376 Kingston Road, Unit 17",Pickering,(289) 236-4830,,,,,https://www.gtasearch.com/biz/banban-korean-fried-chicken-pickering
Bar Burrito,Restaurants & Food,Mexican,"1340 Kingston Road, Unit 2",Pickering,(905) 839-2252,,,,,https://www.gtasearch.com/biz/bar-burrito-pickering
Bay Ridges Market,Restaurants & Food,Grocery,713 Krosno Boulevard,Pickering,(905) 831-1270,,,,,https://www.gtasearch.com/biz/bay-ridges-market-pickering
Belaggios,Restaurants & Food,Fast Food,"705 Kingston Road, Unit 16",Pickering,(905) 250-0195,,,,,https://www.gtasearch.com/biz/belaggios-pickering
Beryl's Pepper Pot,Restaurants & Food,Fast Food,"1101 Kingston Road, Unit B3-B4",Pickering,(905) 420-2444,,,,,https://www.gtasearch.com/biz/beryls-pepper-pot-pickering
Big Jerk Spot,Restaurants & Food,Caribbean,"1211 Kingston Road, Unit 15B",Pickering,(905) 420-9969,,,,,https://www.gtasearch.com/biz/big-jerk-spot-pickering
Bigbite Grill,Restaurants & Food,,"375 Kingston Road, Unit 5",Pickering,(905) 492-3410,,,,,https://www.gtasearch.com/biz/bigbite-grill-pickering
Bismillah Meat Market,Restaurants & Food,Grocery,"1725 Kingston Road, Unit 24",Pickering,(905) 239-7876,,,,,https://www.gtasearch.com/biz/bismillah-meat-market-pickering
Booster Juice,Restaurants & Food,Fast Food,"2460 Brock Road, Unit C10",Pickering,(905) 427-7775,,,,,https://www.gtasearch.com/biz/booster-juice-pickering
Booster Juice,Restaurants & Food,Fast Food,"1355 Kingston Road, Unit 139",Pickering,(905) 832-3335,,,,,https://www.gtasearch.com/biz/booster-juice-pickering-2
Bourbon Street Grill,Restaurants & Food,Fast Food,"1355 Kingston Road, Unit 11",Pickering,(905) 421-9079,,,,,https://www.gtasearch.com/biz/bourbon-street-grill-pickering
Capital Kitchen,Restaurants & Food,,"1735 Bayly Street, Unit 8a",Pickering,(416) 819-0421,,,,,https://www.gtasearch.com/biz/capital-kitchen-pickering
Chuuk,Restaurants & Food,,774 Liverpool Road,Pickering,(905) 767-0620,,,,,https://www.gtasearch.com/biz/chuuk-pickering
Coco Cake Co.,Restaurants & Food,Bakeries,774 Liverpool Road,Pickering,(905) 420-5191,,,,,https://www.gtasearch.com/biz/coco-cake-co-pickering
Coco Fresh Tea & Juice,Restaurants & Food,Fast Food,"1794 Liverpool Road, Unit 25",Pickering,(905) 831-8800,,,,,https://www.gtasearch.com/biz/coco-fresh-tea-juice-pickering
Cocoa Berry,Restaurants & Food,Bakeries,"1355 Kingston Road, Unit 159B",Pickering,(289) 597-0874,,,,,https://www.gtasearch.com/biz/cocoa-berry-pickering
Convenience King,Restaurants & Food,Grocery,"705 Kingston Road, Unit 21",Pickering,(905) 492-2575,,,,,https://www.gtasearch.com/biz/convenience-king-pickering
Cora's Breakfast & Lunch,Restaurants & Food,,"1755 Pickering Parkway, Unit B035",Pickering,(905) 231-3004,,,,,https://www.gtasearch.com/biz/coras-breakfast-lunch-pickering
Country Style Donuts,Restaurants & Food,Fast Food,1050 Brock Road,Pickering,(905) 831-4482,,,,,https://www.gtasearch.com/biz/country-style-donuts-pickering
Crown Pita,Restaurants & Food,Fast Food,"1725 Kingston Road, Unit 4",Pickering,(905) 427-1157,,,,,https://www.gtasearch.com/biz/crown-pita-pickering
Daal Roti,Restaurants & Food,Indian,"1450 Kingston Road, Unit 11",Pickering,(905) 420-0404,,,,,https://www.gtasearch.com/biz/daal-roti-pickering
Dairy Queen,Restaurants & Food,Fast Food,"1099 Kingston Road, Unit 1",Pickering,(905) 831-2665,,,,,https://www.gtasearch.com/biz/dairy-queen-pickering
Daisy Fresh Convenience Store,Restaurants & Food,Grocery,"1980 Rosefield Road, Unit 1",Pickering,(905) 839-9865,,,,,https://www.gtasearch.com/biz/daisy-fresh-convenience-store-pickering
Daisy Mart,Restaurants & Food,Grocery,"512 Kingston Road, Unit 1",Pickering,(437) 452-3204,,,,,https://www.gtasearch.com/biz/daisy-mart-pickering
Diamond Billiards And Lounge,Restaurants & Food,,"2200 Brock Road, Unit A1",Pickering,(905) 239-9988,,,,,https://www.gtasearch.com/biz/diamond-billiards-and-lounge-pickering
Domino's Pizza,Restaurants & Food,Fast Food,"1900 Dixie Road, Unit 3",Pickering,(905) 839-0030,,,,,https://www.gtasearch.com/biz/dominos-pizza-pickering
Dragon Rolls,Restaurants & Food,,"1105E Kingston Road, Unit 6-8",Pickering,(905) 839-9888,,,,,https://www.gtasearch.com/biz/dragon-rolls-pickering
El Gourmet,Restaurants & Food,Bakeries,"1550 Kingston Road, Unit 22",Pickering,(905) 831-6060,,,,,https://www.gtasearch.com/biz/el-gourmet-pickering
Exotic Knacks Candy & Snacks,Restaurants & Food,Grocery,"1355 Kingston Road, Unit 41",Pickering,(289) 923-1140,,,,,https://www.gtasearch.com/biz/exotic-knacks-candy-snacks-pickering
Flower Bong Variety,Restaurants & Food,Grocery,"1105 Finch Avenue, Unit 1",Pickering,(905) 831-1105,,,,,https://www.gtasearch.com/biz/flower-bong-variety-pickering
Free Topping Pizza,Restaurants & Food,Fast Food,"376 Kingston Road, Unit 2",Pickering,(905) 509-0960,,,,,https://www.gtasearch.com/biz/free-topping-pizza-pickering
Gabby’s,Restaurants & Food,,1899 Brock Road,Pickering,(905) 556-1662,,,,,https://www.gtasearch.com/biz/gabbys-pickering
Gabby's Express,Restaurants & Food,Grocery,898 Kingston Road,Pickering,(905) 420-8203,,,,,https://www.gtasearch.com/biz/gabbys-express-pickering
Gino’s Pizza,Restaurants & Food,Fast Food,"893 Bayly Street, Unit 2",Pickering,(905) 839-6969,,,,,https://www.gtasearch.com/biz/ginos-pizza-pickering
Grandpa's Pizzaria,Restaurants & Food,Fast Food,"1477 Bayly Street, Unit 10",Pickering,(905) 492-2333,,,,,https://www.gtasearch.com/biz/grandpas-pizzaria-pickering
Guac Mexi Grill,Restaurants & Food,Fast Food,"2460 Brock Road, Unit B5",Pickering,(905) 427-2193,,,,,https://www.gtasearch.com/biz/guac-mexi-grill-pickering
Hakka Fusion,Restaurants & Food,,1670 Kingston Road,Pickering,(647) 405-0289,,,,,https://www.gtasearch.com/biz/hakka-fusion-pickering
Harvey's,Restaurants & Food,Fast Food,1635 Bayly Street,Pickering,(289) 539-0300,,,,,https://www.gtasearch.com/biz/harveys-pickering
Heaffles,Restaurants & Food,Fast Food,"1550 Kingston Road, Unit 60",Pickering,(905) 739-0677,,,,,https://www.gtasearch.com/biz/heaffles-pickering
Heavenly Desserts,Restaurants & Food,Fast Food,"1755 Pickering Parkway, Unit C3",Pickering,(437) 912-9111,,,,,https://www.gtasearch.com/biz/heavenly-desserts-pickering
Hibachi Grill,Restaurants & Food,,"1848 Liverpool Road, Unit 6",Pickering,(905) 492-8288,,,,,https://www.gtasearch.com/biz/hibachi-grill-pickering
Ippon Ramen,Restaurants & Food,Japanese,"2460 Brock Road, Unit B6",Pickering,(905) 619-8899,,,,,https://www.gtasearch.com/biz/ippon-ramen-pickering
Island Mix Restaurant & Lounge,Restaurants & Food,,"1050 Brock Road, Unit 14",Pickering,(905) 831-1649,,,,,https://www.gtasearch.com/biz/island-mix-restaurant-lounge-pickering
Jack Astor's Bar And Grill,Restaurants & Food,,"1355 Kingston Road, Unit 9001",Pickering,(905) 839-2226,,,,,https://www.gtasearch.com/biz/jack-astors-bar-and-grill-pickering
Kabul Bazar Supermarket,Restaurants & Food,Grocery,734 Kingston Road,Pickering,(905) 831-5454,,,,,https://www.gtasearch.com/biz/kabul-bazar-supermarket-pickering
Kathryn's Grill & Bar,Restaurants & Food,,"376 Kingston Road, Unit 14-15",Pickering,(905) 509-4421,,,,,https://www.gtasearch.com/biz/kathryns-grill-bar-pickering
Kernels,Restaurants & Food,Fast Food,"1355 Kingston Road, Unit 26",Pickering,(905) 831-5117,,,,,https://www.gtasearch.com/biz/kernels-pickering
Kingston & Whites Freshco #3865,Restaurants & Food,Grocery,650 Kingston Road,Pickering,(905) 837-8611,,,,,https://www.gtasearch.com/biz/kingston-whites-freshco-3865-pickering
Kingston Grocery & Convenience,Restaurants & Food,Grocery,"376 Kingston Road, Unit 16",Pickering,(905) 509-2520,,,,,https://www.gtasearch.com/biz/kingston-grocery-convenience-pickering
Kips Flaming Burgers,Restaurants & Food,Fast Food,"1016 Brock Road, Unit 3",Pickering,(905) 492-5477,,,,,https://www.gtasearch.com/biz/kips-flaming-burgers-pickering
Lazeez Shawarma,Restaurants & Food,Middle Eastern,"705 Kingston Road, Unit 5",Pickering,(905) 420-3011,,,,,https://www.gtasearch.com/biz/lazeez-shawarma-pickering
Lone Star Texas Grill,Restaurants & Food,,705 Kingston Road,Pickering,(905) 420-3334,,,,,https://www.gtasearch.com/biz/lone-star-texas-grill-pickering
M&M Food Market,Restaurants & Food,Grocery,"705 Kingston Road, Unit 15",Pickering,(905) 420-3223,,,,,https://www.gtasearch.com/biz/m-m-food-market-pickering
Ma Yve Grill,Restaurants & Food,Fast Food,"1980 Rosefield Road, Unit 2-3",Pickering,(905) 492-6001,,,,,https://www.gtasearch.com/biz/ma-yve-grill-pickering
Makimono Japanese Restaurant,Restaurants & Food,Japanese,1786 Liverpool Road,Pickering,(905) 831-0335,,,,,https://www.gtasearch.com/biz/makimono-japanese-restaurant-pickering
Mansion Kitchen + Bar,Restaurants & Food,,1294 Kingston Road,Pickering,(905) 291-4494,,,,,https://www.gtasearch.com/biz/mansion-kitchen-bar-pickering
Manyaman Foods,Restaurants & Food,Grocery,1725 Kingston Road,Pickering,(905) 686-7800,,,,,https://www.gtasearch.com/biz/manyaman-foods-pickering
Mary Brown's,Restaurants & Food,Fast Food,"780 Kingston Road, Unit A2",Pickering,(905) 831-2383,,,,,https://www.gtasearch.com/biz/mary-browns-pickering
Mazar Pizza & Kabob House,Restaurants & Food,Fast Food,"1550 Kingston Road, Unit 24",Pickering,(905) 839-3377,,,,,https://www.gtasearch.com/biz/mazar-pizza-kabob-house-pickering
Mcdonald's,Restaurants & Food,Fast Food,"1300 Kingston Road, Unit 1",Pickering,(905) 839-5665,,,,,https://www.gtasearch.com/biz/mcdonalds-pickering
99 Mini Mart,Restaurants & Food,Grocery,445 Brock Street North,Whitby,(905) 668-8381,,,,,https://www.gtasearch.com/biz/99-mini-mart-whitby
A&W Canada,Restaurants & Food,Fast Food,1206 Dundas Street East,Whitby,(905) 444-9170,,,,,https://www.gtasearch.com/biz/a-w-canada-whitby
